statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
returninternval_min_7day,1.0,-30.0,0.0028,0.001,0.0142,0.0183
returninternval_min_7day,1.0,-20.0,0.0043,0.001,0.019,0.0238
returninternval_min_7day,1.0,-10.0,0.0066,0.0011,0.0251,0.0306
returninternval_min_7day,1.0,0.0,0.0094,0.0012,0.0314,0.0374
returninternval_min_7day,1.0,10.000000000000014,0.0126,0.0014,0.0374,0.0436
returninternval_min_7day,1.0,20.0,0.0161,0.0016,0.0431,0.0494
returninternval_min_7day,2.0,-40.0,0.0017,0.001,0.01,0.0135
returninternval_min_7day,2.0,-30.0,0.0027,0.001,0.014,0.0181
returninternval_min_7day,2.0,-20.0,0.0042,0.001,0.0187,0.0233
returninternval_min_7day,2.0,-10.0,0.0064,0.0011,0.0246,0.0301
returninternval_min_7day,2.0,0.0,0.0092,0.0012,0.0309,0.0368
returninternval_min_7day,2.0,10.000000000000014,0.0122,0.0014,0.0368,0.043
returninternval_min_7day,2.0,20.0,0.0157,0.0016,0.0426,0.0489
returninternval_min_7day,3.0,-40.0,0.0017,0.001,0.0097,0.0132
returninternval_min_7day,3.0,-30.0,0.0027,0.0009,0.0138,0.0178
returninternval_min_7day,3.0,-20.0,0.0041,0.001,0.0183,0.0229
returninternval_min_7day,3.0,-10.0,0.0062,0.0011,0.0242,0.0296
returninternval_min_7day,3.0,0.0,0.0089,0.0012,0.0304,0.0363
returninternval_min_7day,3.0,10.000000000000014,0.0119,0.0014,0.0363,0.0425
returninternval_min_7day,3.0,20.0,0.0152,0.0016,0.042,0.0484
returninternval_min_7day,4.0,-40.0,0.0016,0.0009,0.0095,0.013
returninternval_min_7day,4.0,-30.0,0.0026,0.0009,0.0135,0.0176
returninternval_min_7day,4.0,-20.0,0.004,0.001,0.0179,0.0224
returninternval_min_7day,4.0,-10.0,0.006,0.0011,0.0237,0.0291
returninternval_min_7day,4.0,0.0,0.0087,0.0012,0.0299,0.0358
returninternval_min_7day,4.0,10.000000000000014,0.0116,0.0013,0.0357,0.0419
returninternval_min_7day,4.0,20.0,0.0148,0.0015,0.0415,0.0479
Q7day_min,0.0,-40.0,0.0081,0.0012,0.0176,0.0212
Q7day_min,0.0,-30.0,0.0092,0.0012,0.0216,0.0258
Q7day_min,0.0,-20.0,0.0108,0.0013,0.0265,0.0312
Q7day_min,0.0,-10.0,0.0134,0.0014,0.0323,0.0375
Q7day_min,0.0,0.0,0.0171,0.0015,0.0383,0.0438
Q7day_min,0.0,10.000000000000014,0.0218,0.0017,0.0448,0.0504
Q7day_min,0.0,20.0,0.0275,0.0019,0.0516,0.0572
Q7day_min,1.0,-40.0,0.008,0.0012,0.0174,0.0209
Q7day_min,1.0,-30.0,0.009,0.0012,0.0213,0.0255
Q7day_min,1.0,-20.0,0.0106,0.0013,0.0261,0.0308
Q7day_min,1.0,-10.0,0.0131,0.0014,0.0318,0.037
Q7day_min,1.0,0.0,0.0165,0.0015,0.0377,0.0432
Q7day_min,1.0,10.000000000000014,0.0211,0.0017,0.044,0.0496
Q7day_min,1.0,20.0,0.0264,0.0019,0.0506,0.0563
